,企業名,キャッチコピー,ステータス,給与
464,株式会社札幌解体建設 | 転勤なし／電話問い合わせもOK！ ⇒ TEL／011-865-6060,月収24万円以上も可！【総合職（作業員／重機オペ／施工管理）】 正社員,正社員,日給 1万円〜 + 各種手当 ＜月収例＞ 日給1万円×月24日＝24万円 + 各種手当 ※試用期間あり（最長3ヶ…
465,フルカワ工業株式会社 | 随時昇給・賞与年2回(前年度実績)・土日の週休2日制,万全のサポート体制あり【技術スタッフ】創業46年の安定企業！ 正社員,正社員,月給20万7768円〜31万2938円 ＋各種手当＋賞与年2回（前年度実績） ※年齢、経験によって決定いたします…
466,株式会社中国道路施設 | 【全国でも数少ない案内標識塔の専業メーカー】★週休2日(土日),広島に根ざして働く！看板広告の【企画・提案営業】◎未経験歓迎 正社員,正社員,月給20万円 〜 30万円 +インセンティブ制度あり +賞与年2回 ※経験や年齢、スキル等を考慮の上、当社規…
467,株式会社三矢 | 東京都内・水道局などのスケールの大型案件がメイン★社員寮あり,残業ほぼナシ&高収入【設備作業スタッフ】未経験も月収28万円～ 正社員,正社員,日給月給：28万円〜 ※経験・年齢を考慮の上、当社規定により優遇！ ※試用期間3ヶ月（日給月給：26万円…
468,株式会社名光電気 | 残業なし／資格取得も支援／2017年設立の新進気鋭の会社です！,未経験・資格ナシの方歓迎！一から育成の【電気工事スタッフ】 正社員,正社員,月給20万円〜50万円 ※経験・年齢を考慮の上、当社規定により優遇します。 ※試用期間3ヵ月（その間の給…
469,合資会社東洋電機制御 | ☆離島で楽しく働こう！未経験からチャレンジできる！☆転勤なし,【電気工事士】頑張りをしっかり給与に還元！高収入も目指せる☆ 正社員,正社員,月給17万円〜＋諸手当 ※年齢、経験、能力を考慮の上、優遇します。 ※最長1ヶ月間の試用期間あり(待遇…
470,株式会社モリコーポレーション | 完全週休2日制／土日祝休み／年間休日123日／月給24万円以上も可,未経験から心地良く働く【営業・事務スタッフ】 正社員,正社員,＜クライアント企業内＞ 月給24万円以上＋各種手当＋賞与 ＜東京支社＞ 月給20万円以上＋各種手当＋賞与 …
471,株式会社ウッドヴェル | ＼ 成長著しいベンチャー企業で活躍！ ／ ☆男女ともに活躍中！,【 営業スタッフ 】高収入が叶う！★沖縄はオープニング募集★ 正社員,正社員,"▼入社1ヶ月目 月給 300,000円以上 ＋ インセンティブ ＋ 諸手当 ▼2ヶ月目以降 月給 200,000円以上 ＋ …"
472,平安衛生開発株式会社 | ＊未経験でも月給24万円～／残業なし／資格取得は全額会社負担＊,★育成枠採用【ルートドライバー/作業員】◎完全週休2日制(土日) 正社員,正社員,"月給24万円〜27万円 ※年齢・経験・スキルによって考慮します ※試用期間3ヶ月（期間中は日給8,000円） …"
473,北摂工業株式会社 | #工場内は冷暖房完備で快適 #完全週休2日制で残業は少なめ,技術をイチから学び収入UPが叶う！【製造スタッフ】※未経験歓迎 正社員,正社員,"◆月給20万円〜38万円+皆勤手当（1万6,000円）+各種手当+賞与2回（4ヶ月分の実績あり／前年度） ※経験・…"
474,若松建設株式会社 | 賞与総額200万円以上(前年実績)◎年齢に関わらず全員支給です！,基本から学べる【施工管理アシスタント】◎転勤無／決算賞与あり 正社員,正社員,"月給：210,000円〜400,000円+諸手当 ※経験・年齢・能力を考慮の上、決定します。"
475,株式会社グロリアース | ★転職回数・マネジメント不問　★業績好調！環境事業で成長中,月収100万円もめずらしくない！稼げる【営業】★年齢不問 正社員,正社員,月給／23万円〜 ＋ 諸手当 ＋ インセンティブ ※年齢、経験、能力を考慮の上、優遇します。 ※試用期間…
476,株式会社サン・サービス | ◆月30万円以上◆未経験大歓迎!充実な研修有◆大手企業取引多数!,30～40代活躍中×面接1回◎快適車内空間を演出！【役員運転手】 正社員,正社員,月給30万円 ＋ 賞与年2回 ＋ 諸手当(☆充実度高め☆) ※平均年収500万円（2020年度実績） 　頑張った分…
477,ダイケン株式会社 | ＜エイブルグループ＞大阪府緊急雇用対策事業に賛同,国内外の富裕層が顧客【不動産営業】◎幹部候補募集 正社員,正社員,月給25万〜35万円+歩合給 ※経験・能力などを考慮の上、優遇いたします ※試用期間3ヶ月あり(待遇は変わ…
478,新日本リース株式会社 | 新日本グループの安定性あり◆経験を活かし腰を据えて働ける！,ゆくゆくは月収40万円～も現実的【フォークリフトオペレーター】 正社員,正社員,【月給】25万円〜33万円 + 残業手当ほか ※経験・能力の考慮の上、当社規定により決定いたします。 ※試…
479,株式会社名神建工 | 設立10年！相談依頼増加に伴いさらに成長中の会社！土日祝休み,【雨どい等の工事を扱う営業】年収600万円以上可！経験者優遇！ 正社員,正社員,月給25万円＋歩合 ※経験・能力・スキルを考慮し、決定いたします。 ※上記給与には固定残業代7万円(45h…
480,株式会社日本セイユ― | 残業少なめ／寮完備で即入居OK／日・隔土休み,50代の新入社員も入社！【反響営業】◎平均月収48万円 正社員,正社員,月給20万円〜38万円＋歩合給 ※社員の平均月収【48万円】 ※経験者はこれまでの経歴や能力などを考慮の…
481,株式会社Let's | 自由な社風が魅力◎リモートワークもOK！資格支援制度あり,“年収1000万円以上”も夢じゃない！【電気工事スタッフ】 正社員,正社員,▼現場経験をお持ちの方 月給：25万円〜50万円 ▼電気工事士の経験・資格をお持ちの方 月給：30万円〜50…
482,株式会社井沢設計 | 年収600万円も可/家族・住宅手当あり/大阪府緊急雇用対策に賛同,★月給43万円＆残業月30hと少なめ★【測量スタッフ】実働7時間 正社員,正社員,◆月給43万円＋賞与 【モデル年収例】 年収520万円〜600万円 ※年齢・経験・スキルを十分考慮の上、当…
483,有限会社福岡紙業 | #シフトによる週休2日制#土日も交代で休める#賞与年2回,未経験歓迎!月収40万円以上が目指せる【ドライバー/工場内作業】 正社員,正社員,"◆月給20万円〜30万円 ※経験・スキルに応じて優遇します ※試用期間1ヶ月あり（1ヶ月間は日給7,000円）"
484,"有限会社浪速酸素商会 | 【未経験も月給207,200円～】▼年齢不問！40代の新人も活躍中♪",長距離＆夜間の運転一切なし！【ルート配送】※未経験歓迎 正社員,正社員,"月給207,200円〜287,000円 ※年齢、経験、能力を考慮の上、優遇します。 ※最長3ヶ月間の試用期間あり(…"
485,株式会社富士鳩急送 | ◆賞与年2回◆転勤なし！月収40万円も可能です！！,【ドライバー】未経験歓迎！資格支援あり◎高収入GETも！ 正社員,正社員,月給25万円〜37万円（一律諸手当含む） ＜収入例＞ ★大型トラック／月収35万円／年収450万円
486,株式会社ヘヤミセ | 《 設立以来継続して増収中 》＼ 新店舗社員募集中！／,【総合職(賃貸営業・販促企画)】長崎での知名度抜群！ 正社員,正社員,月給20万円〜 + 諸手当 ※上記はあくまで最低保証額です。 　年齢、経験、能力を考慮の上、優遇します。…
487,株式会社リンクス | 【面接1回】未経験から高収入を目指せる／土日祝／年休120日以上,【遺品整理スタッフ】月給30万以上／歩合賞与有り／未経験歓迎 正社員,正社員,◆月給30万円以上＋歩合給 ※45時間分・8万円以上の固定残業代が含まれています。 ※固定残業代を超える…
488,株式会社ライフスタイル | 履歴書不要★入社祝い金10万円！レンタル車両あり★未経験歓迎,【軽車両ドライバー】社宅完備！月収80万以上可！土日祝休みOK！ 業務委託,業務委託,＜選べる給与形態！＞前払い制度あり◎ガソリンカード付き！ ■軽車両ドライバー 完全出来高制（1個あた…
489,株式会社サンモト | ＼ 転勤なし！高収入も目指せる！／ あなたは安定派？稼ぐ派？,アパレルの【法人営業】★完全土日祝休み ★残業ほぼ無し 正社員,正社員,月給／20万円〜35万円 ＋ インセンティブ ＋ 諸手当 ※上記はあくまで最低保証額です。 　年齢、経験、…
490,有限会社朝日新聞末津新聞舗 | ASA東久留米駅前【面接1回】バイク貸与/社員寮完備/地域密着◎,未経験歓迎×好待遇！朝日新聞の魅力を伝える【管理スタッフ】 正社員,正社員,"月給280,000円〜380,000円+インセンティブ+各種手当 【年収600万円⇒現実的に目指せます】 ※年齢・経…"
491,株式会社サンガアソシエイツ | 【さいとう税理士法人グループ】◆年休120日以上,＼即戦力募集！／スキルを高める【税理士・税務スタッフ】 正社員,正社員,月給25万3000円〜60万円（固定残業手当4万4500円〜10万円／30時間相当分含む、超過分は追加支給します） …
492,株式会社KEnKI | 発電所やポンプ場に機械器具を運搬・設置し街づくりをサポート,機械器具の運搬・設置【作業スタッフ】日本通運パートナー企業 正社員,正社員,"日給月給制：194,400円〜259,200円+各種手当 ★スキルを身につければ月収45万円以上目指すことも可能！ …"
493,リコーテック株式会社 | ＼女性のおしごと掲載中♪／★転勤ナシ★昼食手当・職能手当あり,★年間休日120日以上【営業職】丁寧な研修あり！未経験者も安心 正社員,正社員,【 月給21〜60万円 】 ※経験・スキル・年齢を考慮して、当社規定により決定いたします。 ※上記月給に…
494,株式会社城西自動車学校 | ＜利便性◎＞愛媛県を代表する、中心部に位置する好立地の教習場,自動車学校の【教習指導員】待遇＋制度＋やりがいに満足度◎ 正社員,正社員,"【月給】 140,000円 〜 400,000円　＋　諸手当 ※上記の下限値はあくまで最低保証額です。 　経験・資格…"
495,田中通信工業株式会社 | <業績好調＆需要拡大> 時代を支える「情報通信」に関わる仕事！,★IT普及に貢献★【営業スタッフ】※必要なのは普通免許だけ！ 正社員,正社員,■月給 20万円〜25万円 ※年齢、経験、能力を考慮の上、優遇いたします ※試用期間3ヶ月（待遇変化なし…
496,大庭社会保険労務士事務所 | ヽ＼30代の若手社員が多数活躍中/／※大阪府緊急雇用対策に賛同,【既存顧客のフォロー・顧客管理業務】未経験◎平均年齢31歳 正社員,正社員,"【1】給与 ■月給245,000円〜 　上記給与＋インセンティブ+賞与 　※休日形態が「日・祝完全休日+2日」の…"
497,長田広告株式会社 | 屋外広告マーケットシェアNo.1★全国73拠点・安定の無借金経営,街を彩り、人を導く広告を創る【広告企画営業】◆年休123日 正社員,正社員,"【月給】21万4,280円以上＋諸手当＋成績手当（歩合） ※あなたの年齢・能力等を考慮して決定します。 ※…"
498,株式会社フリックス | 普免のみでOK/シフトは希望考慮・休みも自由/9割以上が未経験★,多摩エリアの【軽車両ドライバー】★履歴書不要！月収80万円も可 業務委託,業務委託,"完全出来高制（単価180円〜×個数） 【月収例】 月150〜160個×単価180円×26日勤務 ＝月収70万2,000円…"
499,野間ガスサービス株式会社 | ライフラインを支える安定企業／21年連続賞与年3回支給中,大阪ガスのパートナーとして活躍！生活インフラを守る【総合職】 正社員,正社員,"月給20万円以上 【月給例：月給23万5,000円／25歳／1年目】 ※年齢、経験、能力を考慮の上、優遇します…"
